Year,"Major area, region, country or area of destination",0-4,9-May,14-Oct, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1995,Lithuania,"1,743","1,940","1,968","2,830","3,797","5,416","8,855","13,003","15,717","15,529","13,135","10,949","12,188","14,659","13,142","10,075","144,946"
1995,Norway,"2,852","5,258","5,953","7,051","10,403","13,962","14,139","12,572","10,363","8,173","6,052","4,961","4,007","3,534","2,383","4,417","116,080"
1995,Sweden,"5,785","16,963","22,136","22,177","29,588","40,672","46,469","46,670","44,334","43,566","32,865","31,143","28,602","26,786","21,135","26,186","485,077"
1995,United Kingdom,"34,062","54,906","65,200","91,435","171,634","221,770","225,122","211,600","200,319","171,908","157,041","128,736","124,639","106,156","84,626","127,428","2,176,582"
1995,Southern Europe,"74,834","112,991","155,216","197,196","273,995","344,008","346,463","311,829","259,506","212,610","180,802","145,746","130,781","101,447","106,003","174,995","3,128,823"
1995,Albania,"2,622","2,580","2,541","2,596","2,951","3,237","3,773","4,124","3,719","2,738","1,758","1,189",942,833,946,"1,521","38,070"
1995,Andorra,435,679,829,985,"1,500","2,166","2,346","2,063","1,694","1,335","1,142",969,870,646,544,871,"19,074"
1995,Bosnia and Herzegovina,"1,503","1,457","1,043","1,428","2,731","3,299","3,188","3,103","3,180","3,018","2,805","2,430","2,354","2,096","1,716","1,010","36,361"
1995,Croatia,"2,312","6,333","10,987","13,680","19,946","29,202","34,566","37,671","35,819","29,978","29,819","24,634","26,044","22,004","15,200","20,157","358,352"
1995,Gibraltar,333,321,284,247,351,478,498,460,370,271,206,146,102,50,25,43,"4,185"
1995,Greece,"21,704","25,105","27,894","30,587","42,314","49,788","47,994","39,930","35,027","26,013","19,152","12,900","10,929","4,256","4,541","14,712","412,846"
1995,Holy See,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,402
1995,Italy,"20,240","32,922","45,673","62,655","89,652","119,836","122,406","101,794","74,833","56,576","48,854","38,424","29,087","24,205","32,834","65,409","965,400"
1995,Malta,209,639,820,904,"1,018","1,217",999,728,507,447,386,309,309,290,255,337,"9,374"
1995,Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1995,Portugal,"7,220","13,448","24,490","32,751","36,931","36,656","29,013","22,240","16,738","12,211","9,181","7,766","6,756","4,807","6,108","7,169","273,485"
1995,San Marino,72,88,82,79,171,259,279,217,165,106,66,44,31,20,12,28,"1,719"
1995,Serbia,"1,649","4,849","9,895","13,031","15,585","19,661","21,772","25,623","29,843","34,349","30,244","24,910","25,989","20,973","25,563","36,740","340,676"
1995,Slovenia,546,"1,292","2,152","3,077","4,156","6,833","9,254","10,854","10,331","9,234","6,933","5,046","4,398","3,568","2,424","4,066","84,164"
1995,Spain,"13,686","21,981","27,191","34,685","53,304","68,206","66,271","58,056","41,214","30,501","23,465","19,826","16,721","13,336","12,379","20,131","520,953"
1995,TFYR Macedonia,"2,303","1,297","1,335",491,"3,385","3,170","4,104","4,966","6,066","5,833","6,791","7,153","6,249","4,363","3,456","2,800","63,762"
1995,Western Europe,"133,067","215,312","311,381","447,144","653,499","845,737","951,196","948,583","890,252","755,024","650,326","530,388","467,617","353,410","296,081","528,116","8,977,133"
1995,Austria,"7,387","9,628","12,554","20,426","34,615","44,312","45,806","46,667","43,464","37,680","34,027","30,425","27,616","25,438","19,608","31,938","471,591"
1995,Belgium,"26,751","28,739","27,998","30,189","36,001","42,584","42,151","37,295","31,367","25,900","23,059","19,563","17,840","13,310","10,831","15,169","428,747"
1995,France,"24,488","50,923","78,295","106,803","159,918","220,263","280,248","310,641","312,478","274,695","234,892","200,111","186,389","154,728","141,124","305,914","3,041,910"
1995,Germany,"30,344","66,712","124,584","205,265","302,488","376,701","413,642","403,013","373,066","310,091","259,484","206,815","173,993","110,786","86,830","122,195","3,566,009"
1995,Liechtenstein,469,456,444,458,609,707,659,557,469,399,282,164,137,155,95,183,"6,243"
1995,Luxembourg,"1,321","2,036","2,461","2,755","4,463","6,779","7,605","7,065","6,305","4,958","4,442","3,439","2,955","2,153","1,774","3,303","63,814"
1995,Monaco,256,272,274,302,390,561,749,861,879,847,866,873,825,731,811,"1,608","11,105"
1995,Netherlands,"11,347","21,632","30,626","45,033","62,059","79,580","79,861","70,397","61,336","47,758","43,127","30,191","26,488","23,633","19,625","25,235","677,928"
1995,Switzerland,"30,704","34,914","34,145","35,913","52,956","74,250","80,475","72,087","60,888","52,696","50,147","38,807","31,374","22,476","15,383","22,571","709,786"
1995,LATIN AMERICA AND THE CARIBBEAN,"138,504","168,472","172,863","196,634","243,106","269,732","274,796","267,223","256,623","226,875","209,601","180,322","174,663","163,052","137,013","265,392","3,344,871"
1995,Caribbean,"32,993","35,558","39,787","45,410","56,307","60,314","59,596","50,303","40,559","32,689","26,461","19,292","16,168","13,124","11,258","18,189","558,008"
1995,Anguilla,151,134,119,123,156,183,199,186,138,91,65,55,51,33,28,21,"1,733"
1995,Antigua and Barbuda,849,527,580,725,894,"1,096","1,200","1,076",769,435,322,286,272,170,110,193,"9,504"
1995,Aruba,188,674,623,603,"1,307","1,923","1,819","1,461","1,141",846,502,346,254,221,142,250,"12,300"
1995,Bahamas,559,321,372,671,"1,085","1,516","1,861","1,980","1,725","1,039",928,726,655,586,400,610,"15,034"
1995,Barbados,418,572,659,864,"1,330","1,698","1,794","1,697","1,369","1,197",868,642,512,462,326,581,"14,989"
1995,British Virgin Islands,221,260,269,266,456,647,696,643,499,341,246,178,104,51,34,101,"5,012"
1995,Caribbean Netherlands,"1,148",748,"1,307","1,402","1,204","1,617","2,399","2,731","2,831","2,523","1,799","1,380",889,574,306,570,"23,428"
1995,Cayman Islands,247,424,416,328,509,750,"1,127",928,725,582,391,288,160,111,78,90,"7,154"
1995,Cuba,180,175,320,331,423,381,445,644,722,804,"1,061","1,728","1,609","1,283","1,210","2,312","13,628"
1995,Curaçao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1995,Dominica,223,252,182,137,113,100,89,75,67,49,45,35,30,26,23,52,"1,498"
1995,Dominican Republic,"15,327","11,799","11,283","12,330","14,278","13,134","10,399","8,231","6,441","4,993","3,862","2,786","2,461","2,162","1,732","3,321","124,539"
1995,Grenada,263,353,325,302,182,178,194,205,185,148,122,97,65,62,39,78,"2,798"
1995,Guadeloupe,"1,313","2,715","3,329","3,351","3,068","3,906","4,414","4,305","3,627","2,837","1,987","1,213",795,494,369,595,"38,318"
1995,Haiti,726,510,416,496,752,"1,004","1,166","1,083",912,792,663,532,372,185,91,123,"9,823"
1995,Jamaica,957,844,796,742,860,"1,111","1,228","1,024",727,543,449,393,371,338,315,773,"11,471"
1995,Martinique,986,"2,110","2,690","2,562","2,149","2,276","2,412","2,321","1,865","1,476","1,203",772,461,421,336,288,"24,328"
1995,Montserrat,63,47,39,48,75,94,94,77,60,46,29,21,17,16,17,44,787
1995,Puerto Rico,"6,352","9,858","12,453","16,247","22,886","23,123","21,940","15,618","11,690","10,078","8,998","5,234","4,323","2,857","2,362","3,309","177,328"
1995,Saint Kitts and Nevis,161,191,215,159,146,176,172,156,125,109,92,84,70,57,52,87,"2,052"
1995,Saint Lucia,259,365,329,294,290,383,419,333,244,129,111,93,98,94,58,93,"3,592"
1995,Saint Vincent and the Grenadines,224,277,261,169,146,172,190,157,126,95,70,51,41,45,42,58,"2,124"
1995,Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1995,Trinidad and Tobago,773,724,752,848,"1,092","1,321","1,535","1,735","1,728","1,520","1,276","1,245","1,630","2,095","2,561","3,856","24,691"
1995,Turks and Caicos Islands,281,294,274,241,313,421,415,363,258,168,112,93,75,31,25,32,"3,396"
1995,United States Virgin Islands,"1,124","1,384","1,778","2,171","2,593","3,104","3,389","3,274","2,585","1,848","1,260","1,014",853,750,602,752,"28,481"
1995,Central America,"60,243","70,291","58,191","61,470","68,811","67,244","57,492","47,724","37,432","28,653","23,455","18,002","15,412","12,273","11,232","17,747","655,672"
1995,Belize,571,"1,093","1,539","1,725","1,917","1,897","1,689","1,401","1,139",854,636,453,339,249,186,246,"15,934"
1995,Costa Rica,"4,550","12,517","13,687","18,308","24,276","23,300","19,718","15,903","12,639","9,457","7,271","4,578","3,860","3,046","2,472","4,220","179,802"
1995,El Salvador,"1,893","1,768","1,794","1,959","2,290","2,068","1,697","1,590","1,323","1,097",798,652,551,412,320,761,"20,973"
1995,Guatemala,"4,691","4,230","5,190","7,730","11,221","13,107","11,984","9,540","6,537","4,401","3,063","2,599","2,079","1,246",748,909,"89,275"
1995,Honduras,"3,980","4,928","7,897","10,370","11,398","10,131","6,994","4,563","3,124","2,410","2,040","1,895","1,515",908,545,667,"73,365"
1995,Mexico,"42,222","40,634","24,978","18,576","14,134","12,251","10,629","10,165","8,794","7,430","7,262","6,111","5,600","5,134","5,871","9,169","228,960"
1995,Nicaragua,"1,562","3,775","1,455",797,689,770,816,785,666,503,374,269,227,172,136,259,"13,255"
1995,Panama,774,"1,346","1,651","2,005","2,886","3,720","3,965","3,777","3,210","2,501","2,011","1,445","1,241","1,106",954,"1,516","34,108"
1995,South America,"45,268","62,623","74,885","89,754","117,988","142,174","157,708","169,196","178,632","165,533","159,685","143,028","143,083","137,655","114,523","229,456","2,131,191"
1995,Argentina,"5,583","14,073","18,888","26,394","42,316","53,640","58,747","60,983","67,238","63,576","66,326","60,624","64,323","62,540","53,172","123,619","842,042"
1995,Bolivia (Plurinational State of),"3,525","4,195","3,712","3,868","4,310","4,201","3,623","3,150","2,517","1,936","1,570","1,161",944,687,547,846,"40,792"
1995,Brazil,"3,406","5,403","5,925","7,679","9,665","11,289","13,358","17,596","23,551","25,405","27,395","27,515","30,840","34,734","32,541","69,103","345,405"
1995,Chile,"3,443","5,028","6,939","6,124","7,424","7,744","6,414","5,362","4,397","3,526","2,894","2,276","2,160","2,066","1,926","5,062","72,785"
1995,Colombia,"5,935","7,874","7,999","5,586","4,211","3,523","2,854","2,434","2,131","1,896","1,703","1,392","1,350","1,182",844,"1,363","52,277"
1995,Ecuador,"3,737","4,272","4,905","5,138","5,432","5,299","5,347","5,127","4,359","3,340","2,673","1,961","1,663","1,382",987,"1,592","57,214"
1995,Falkland Islands (Malvinas),23,20,17,23,36,48,51,45,32,20,12,8,7,4,2,10,358
1995,French Guiana,924,"1,864","2,940","3,105","2,655","3,328","4,142","4,132","3,293","2,556","1,779",955,716,429,192,252,"33,262"
1995,Guyana,258,319,337,340,356,313,238,174,136,119,105,94,66,39,18,35,"2,947"
1995,Paraguay,"4,544","6,644","7,706","9,418","9,753","9,880","8,727","7,507","6,414","4,946","3,914","2,790","2,226","1,428","1,142","1,662","88,701"
1995,Peru,"1,862","1,957","1,539","1,582","1,727","1,867","2,145","2,055","1,927","1,972","1,838","1,625","1,541","1,344","1,266","2,424","28,671"
1995,Suriname,845,955,987,984,"1,042","1,062",937,769,604,494,396,311,273,245,135,174,"10,213"
1995,Uruguay,"1,654","1,418","1,319","1,059","1,479","2,769","3,561","3,112","2,550","2,729","3,423","3,892","3,683","4,409","4,332","8,612","50,001"
1995,Venezuela (Bolivarian Republic of),"9,529","8,601","11,672","18,454","27,582","37,211","47,564","56,750","59,483","53,018","45,657","38,424","33,291","27,166","17,419","14,702","506,523"
1995,NORTHERN AMERICA,"157,752","401,885","566,979","835,928","1,248,434","1,678,579","1,841,704","1,863,750","1,694,371","1,367,825","1,242,989","975,496","811,971","604,729","639,653","1,007,101","16,939,146"
1995,Bermuda,194,267,235,234,303,819,"1,109","1,125",930,753,725,571,382,298,241,446,"8,632"
1995,Canada,"23,139","47,983","65,355","91,809","149,129","209,444","222,517","240,252","274,142","216,964","183,145","168,255","160,959","141,116","135,239","179,225","2,508,673"
1995,Greenland,102,200,147,153,164,278,296,249,221,218,178,62,24,11,2,4,"2,309"
1995,Saint Pierre and Miquelon,32,45,64,50,37,46,64,67,49,35,29,19,18,18,24,41,638
1995,United States of America,"134,285","353,390","501,178","743,682","1,098,801","1,467,992","1,617,718","1,622,057","1,419,029","1,149,855","1,058,912","806,589","650,588","463,286","504,147","827,385","14,418,894"
1995,OCEANIA,"24,442","58,023","84,041","105,956","144,233","190,294","242,890","247,267","243,435","251,285","187,844","162,297","138,584","123,899","114,224","168,101","2,486,815"
1995,Australia/New Zealand,"17,535","49,950","75,614","97,189","132,556","176,159","228,161","233,942","232,365","242,697","181,187","157,256","134,697","121,431","112,621","166,077","2,359,437"
1995,Australia,"11,780","39,060","61,430","80,310","114,520","152,480","199,430","206,550","206,520","217,330","161,640","140,200","119,520","107,290","99,330","142,660","2,060,050"
1995,New Zealand,"5,755","10,890","14,184","16,879","18,036","23,679","28,731","27,392","25,845","25,367","19,547","17,056","15,177","14,141","13,291","23,417","299,387"
1995,Melanesia,"2,532","2,896","2,824","2,510","2,484","3,327","4,128","4,515","4,196","3,402","2,916","2,504","1,971","1,011",661,862,"42,739"
1995,Fiji,442,360,318,326,458,611,668,597,514,445,381,356,286,196,131,186,"6,275"
1995,New Caledonia,572,960,"1,047","1,062",969,"1,342","1,894","2,312","2,202","1,727","1,527","1,436","1,230",551,388,535,"19,754"
1995,Papua New Guinea,"1,287","1,377","1,316",989,790,952,"1,176","1,302","1,243","1,047",848,603,370,211,111,72,"13,694"
1995,Solomon Islands,129,112,70,72,181,290,243,181,138,105,108,75,58,31,18,39,"1,850"
1995,Vanuatu,102,87,73,61,86,132,147,123,99,78,52,34,27,22,13,30,"1,166"
1995,Micronesia,"2,446","2,949","3,282","3,774","6,242","7,629","7,328","6,004","4,712","3,244","2,524","1,787","1,349","1,046",650,675,"55,641"
1995,Guam,"1,424","2,014","2,180","2,338","3,271","3,755","3,670","3,338","2,714","2,105","1,816","1,396","1,117",871,557,524,"33,090"
1995,Kiribati,93,119,138,141,108,98,90,82,71,42,28,23,16,11,7,17,"1,084"
1995,Marshall Islands,47,37,27,27,49,68,73,67,50,33,22,16,11,11,5,21,564
1995,Micronesia (Fed. States of),119,100,88,116,197,166,102,85,72,56,47,30,20,9,2,14,"1,223"
1995,Nauru,87,67,60,63,101,143,156,145,117,84,58,40,31,21,11,26,"1,210"
1995,Northern Mariana Islands,558,509,674,980,"2,266","3,022","2,952","2,052","1,530",830,517,261,143,116,61,58,"16,529"
1995,Palau,118,103,115,109,250,377,285,235,158,94,36,21,11,7,7,15,"1,941"
1995,Polynesia,"1,929","2,228","2,321","2,483","2,951","3,179","3,273","2,806","2,162","1,942","1,217",750,567,411,292,487,"28,998"
1995,American Samoa,423,636,799,"1,034","1,453","1,456","1,355","1,120",857,596,422,292,238,159,113,108,"11,061"
1995,Cook Islands,161,169,146,128,110,91,81,62,51,40,32,28,20,19,16,35,"1,189"
1995,French Polynesia,564,869,840,791,898,"1,205","1,463","1,332","1,045","1,148",638,305,199,123,92,159,"11,671"
1995,Niue,35,32,29,23,18,18,18,13,8,6,5,4,3,4,1,6,223
1995,Samoa,403,225,232,247,212,169,143,114,77,64,44,55,47,60,44,107,"2,243"
1995,Tokelau,15,21,25,17,12,8,6,2,1,1,1,..,1,..,..,9,119
1995,Tonga,232,203,171,149,138,125,111,91,70,53,48,45,43,31,15,31,"1,556"
1995,Tuvalu,7,5,3,4,12,13,12,10,7,5,5,4,4,5,2,17,115
1995,Wallis and Futuna Islands,89,68,76,90,98,94,84,62,46,29,22,17,12,10,9,15,821
2000,WORLD,"2,422,950","3,006,581","3,710,281","4,700,626","6,468,569","7,874,897","8,326,061","8,270,155","7,560,140","6,546,909","5,722,266","4,690,718","4,151,504","3,248,663","3,025,545","5,350,321","85,076,784"
2000,More developed regions,"672,846","1,187,636","1,845,998","2,619,228","3,729,655","4,750,437","5,255,633","5,381,415","5,134,840","4,530,152","3,988,359","3,223,692","2,869,933","2,155,903","2,046,583","3,466,266","52,858,984"
2000,Less developed regions,"1,750,104","1,818,945","1,864,283","2,081,398","2,738,914","3,124,460","3,070,428","2,888,740","2,425,300","2,016,757","1,733,907","1,467,026","1,281,571","1,092,760","978,962","1,884,055","32,217,800"
2000,Least developed countries,"412,250","451,694","452,467","478,798","536,650","559,186","499,257","409,920","314,786","237,102","185,065","151,321","122,974","90,071","63,834","70,559","5,035,934"
2000,"Less developed regions, excluding least developed countries","1,337,998","1,367,589","1,412,383","1,603,298","2,203,310","2,566,914","2,573,362","2,481,124","2,112,664","1,781,457","1,550,512","1,317,017","1,159,601","1,003,607","915,974","1,814,920","27,201,920"
2000,High-income countries,"993,273","1,434,489","1,851,369","2,381,715","3,612,616","4,760,320","5,211,733","5,134,478","4,599,327","3,939,961","3,420,581","2,714,496","2,422,662","1,853,813","1,762,941","3,079,377","49,173,151"
2000,Middle-income countries,"1,125,782","1,217,346","1,491,749","1,915,511","2,412,394","2,665,011","2,714,241","2,795,886","2,692,959","2,400,634","2,138,715","1,846,487","1,625,448","1,321,453","1,211,125","2,207,609","31,782,350"
2000,Upper-middle-income countries,"508,881","602,267","836,980","1,082,123","1,340,390","1,464,880","1,459,811","1,440,078","1,400,952","1,259,926","1,130,131","967,845","881,957","667,724","586,504","947,409","16,577,858"
2000,Lower-middle-income countries,"616,901","615,079","654,769","833,388","1,072,004","1,200,131","1,254,430","1,355,808","1,292,007","1,140,708","1,008,584","878,642","743,491","653,729","624,621","1,260,200","15,204,492"
2000,Low-income countries,"296,408","340,053","348,177","383,452","425,201","428,228","376,164","316,679","248,316","191,453","151,200","122,331","98,329","70,372","49,570","60,597","3,906,530"
2000,Sub-Saharan Africa,"549,017","572,144","574,573","647,884","748,292","742,773","626,144","503,376","387,794","298,325","234,089","191,259","158,215","114,307","73,564","84,141","6,506,087"
2000,AFRICA,"582,599","603,041","609,407","688,052","798,552","791,214","668,584","537,356","414,914","321,010","252,776","206,732","171,628","123,447","81,305","93,141","6,943,948"
2000,Eastern Africa,"184,066","187,279","201,013","216,912","242,441","258,588","233,830","198,677","156,184","121,317","97,093","81,177","64,909","47,959","33,362","39,404","2,364,211"
2000,Burundi,"3,387","5,316","5,715","5,792","6,273","6,356","6,608","6,276","4,850","3,822","2,602","2,465","1,636","1,383","1,277",776,"64,534"
2000,Comoros,307,444,589,639,680,837,893,820,638,450,360,257,165,104,41,64,"7,288"
2000,Djibouti,"1,593","2,305","3,412","5,324","7,113","7,664","6,652","4,524","2,765","1,793","1,227","1,109",877,542,270,417,"47,587"
2000,Eritrea,325,281,456,548,654,730,717,640,509,397,287,220,148,87,34,63,"6,096"
2000,Ethiopia,"17,080","18,631","21,466","26,018","29,957","33,538","31,974","27,782","21,869","16,952","13,097","10,491","8,898","5,701","2,279","3,432","289,165"
2000,Kenya,"46,150","45,888","43,875","38,943","34,000","31,822","25,303","20,817","15,793","12,676","10,338","8,061","6,474","4,601","2,728","3,076","350,545"
2000,Madagascar,758,782,730,551,622,841,918,863,750,702,706,623,494,345,268,312,"10,265"
2000,Malawi,"7,302","7,337","8,276","10,294","11,714","11,445","10,283","8,938","7,607","6,434","5,324","4,223","3,370","4,109","6,545","7,889","121,090"
2000,Mauritius,120,163,161,144,"2,404","3,132","2,116",760,318,164,128,76,51,29,21,51,"9,838"
2000,Mayotte,"1,176","1,452","2,099","2,717","3,204","3,209","2,730","2,065","1,234",487,559,528,367,51,14,36,"21,928"
2000,Mozambique,"14,939","10,247","7,547","5,925","9,985","14,861","7,565","5,299","4,258","3,102","2,366","2,069","1,498","1,152",969,745,"92,527"
2000,Réunion,"1,626","3,844","5,036","5,201","3,781","4,330","4,936","4,839","4,137","3,279","2,765","1,731","1,038",674,481,716,"48,414"
2000,Rwanda,"6,812","9,211","13,010","17,650","22,386","22,834","18,957","14,514","10,829","8,220","6,624","5,830","4,006","3,539","3,110","3,859","171,391"
2000,Seychelles,115,143,112,102,277,353,423,362,308,187,99,74,53,47,39,43,"2,737"
2000,Somalia,"1,473","1,013",831,807,963,"1,051",899,754,560,381,216,180,169,58,46,64,"9,465"
2000,South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2000,Uganda,"26,510","24,634","26,299","28,144","32,271","34,610","32,711","28,241","22,183","17,547","13,836","11,834","8,872","5,958","2,696","4,032","320,378"
2000,United Republic of Tanzania,"33,494","31,508","33,546","37,982","42,036","45,932","46,267","42,186","33,344","25,660","20,300","17,675","15,066","12,908","9,729","9,585","457,218"
2000,Zambia,"12,496","13,463","15,109","16,135","16,625","16,203","14,585","11,998","9,689","8,069","6,934","5,904","4,149","2,904","1,309","1,975","157,547"
2000,Zimbabwe,"8,403","10,617","12,744","13,996","17,496","18,840","19,293","16,999","14,543","10,995","9,325","7,827","7,578","3,767","1,506","2,269","176,198"
2000,Middle Africa,"84,402","78,569","73,353","78,280","86,718","88,106","79,541","69,302","56,531","44,411","35,144","28,142","20,588","13,352","7,452","8,720","852,611"
2000,Angola,"1,091","1,623","2,406","2,925","3,398","3,091","2,103","1,330",947,743,650,563,522,525,420,404,"22,741"
2000,Cameroon,"5,709","4,685","5,803","7,143","9,958","11,512","12,139","11,322","9,768","8,074","5,733","4,292","3,032","2,413","1,309",861,"103,753"
2000,Central African Republic,"8,979","5,470","3,483","3,968","5,009","5,682","5,697","5,044","3,942","3,137","2,056","1,725","1,210","1,004",823,664,"57,893"
2000,Chad,"6,636","5,195","5,099","6,047","4,746","4,677","4,068","3,345","2,489","1,371","1,947","1,171",518,185,319,549,"48,362"
2000,Congo,"15,778","12,241","11,970","12,736","14,852","17,170","16,278","14,433","10,843","7,788","5,720","4,628","3,576","2,158",862,"1,303","152,336"
2000,Democratic Republic of the Congo,"37,301","41,323","36,870","37,686","40,104","36,846","30,825","26,369","22,251","18,441","15,384","13,000","9,517","5,931","3,233","4,214","379,295"
2000,Equatorial Guinea,205,156,144,167,209,218,213,194,157,113,85,76,60,42,28,56,"2,123"
2000,Gabon,"8,645","7,785","7,440","7,407","8,211","8,721","8,098","7,164","5,985","4,534","3,350","2,519","2,042","1,020",407,627,"83,955"
2000,Sao Tome and Principe,58,91,138,201,231,189,120,101,149,210,219,168,111,74,51,42,"2,153"
2000,Northern Africa,"78,772","78,519","82,485","80,936","84,807","78,826","67,648","55,114","45,950","39,254","33,276","30,505","30,129","21,487","15,884","13,104","836,696"
2000,Algeria,"6,966","6,877","6,487","7,367","9,120","9,458","9,228","8,751","8,757","8,830","7,836","6,237","5,038","4,354","3,470","4,176","112,952"
2000,Egypt,"4,516","4,310","4,366","5,571","11,161","10,565","10,334","8,066","6,064","4,611","3,397","2,441","2,053","1,283",999,"1,510","81,247"
2000,Libya,"19,456","17,131","21,429","24,549","26,928","24,937","18,913","12,989","8,342","5,703","4,338","4,172","4,397","2,018","1,756","1,428","198,486"
2000,Morocco,"1,764","1,647","1,536","1,559","1,655","1,764","1,925","2,000","1,951","1,853","1,737","1,592","1,298","1,023","1,146","1,351","25,801"
2000,Sudan,"45,190","47,622","47,651","40,768","34,547","30,385","25,208","21,134","18,830","16,569","14,589","15,032","16,716","12,347","8,143","4,104","398,835"
2000,Tunisia,806,855,940,"1,030","1,277","1,584","1,882","2,006","1,861","1,572","1,297",969,581,425,340,498,"17,923"
2000,Western Sahara,74,77,76,92,119,133,158,168,145,116,82,62,46,37,30,37,"1,452"
2000,Southern Africa,"14,274","19,122","22,158","32,520","49,286","54,985","51,018","46,500","42,054","36,377","31,212","27,298","24,179","21,607","11,289","16,621","500,500"
2000,Botswana,"2,148","2,014","1,898","1,590","2,463","3,408","2,941","2,316","1,789","1,191",822,558,384,260,178,213,"24,173"
2000,Lesotho,254,219,251,280,324,333,310,248,192,138,90,73,34,20,18,48,"2,832"
2000,Namibia,"3,788","5,274","4,934","3,815","6,867","6,167","4,695","4,193","3,931","3,259","3,022","2,346","2,196","2,338","2,176","2,893","61,894"
2000,South Africa,"7,528","11,076","14,530","26,036","38,605","43,994","42,111","38,851","35,417","31,148","26,766","23,919","21,225","18,716","8,726","13,145","401,793"
2000,Swaziland,556,539,545,799,"1,027","1,083",961,892,725,641,512,402,340,273,191,322,"9,808"
2000,Western Africa,"221,085","239,552","230,398","279,404","335,300","310,709","236,547","167,763","114,195","79,651","56,051","39,610","31,823","19,042","13,318","15,292","2,389,930"
2000,Benin,"8,215","7,091","5,511","6,699","8,580","8,638","5,678","4,132","2,626","1,525","1,115",507,626,355,316,492,"62,106"
2000,Burkina Faso,"18,846","50,091","44,267","40,910","31,677","26,354","19,051","13,107","8,506","5,462","3,796","2,308","2,013","1,100",972,"1,180","269,640"
2000,Cabo Verde,140,277,298,400,632,748,873,721,559,269,82,71,72,66,26,40,"5,274"
2000,Côte d'Ivoire,"37,783","42,840","40,961","102,459","176,596","164,244","115,340","76,123","47,962","33,956","19,720","13,003","10,682","5,353","2,049",464,"889,535"
2000,Gambia,"9,516","8,692","7,908","10,892","11,481","10,912","8,609","5,625","3,893","2,487","1,752","1,162",929,621,354,543,"85,376"
2000,Ghana,"13,674","14,887","12,728","11,051","7,894","6,894","5,572","4,776","4,037","3,033","2,583","1,691","1,829","1,298","1,182","1,193","94,322"
2000,Guinea,"30,478","32,191","37,301","32,711","28,668","25,003","20,593","16,353","13,313","10,868","9,378","8,691","6,430","3,484","2,556","2,949","280,967"
2000,Guinea-Bissau,"1,510","1,377","1,073","1,076","1,082","1,001",782,639,476,369,249,212,178,124,62,85,"10,295"
2000,Liberia,"8,884","10,418","9,477","7,659","7,869","6,734","5,225","4,071","2,858","1,988","1,378",988,737,475,429,549,"69,739"
2000,Mali,"6,329","13,778","15,476","12,877","9,516","7,871","6,466","4,748","3,628","2,537","2,194","1,618","1,453",929,788,"1,515","91,723"
2000,Mauritania,"3,254","3,108","2,875","2,359","2,440","2,798","2,705","2,105","1,437",961,675,506,364,255,185,176,"26,203"
2000,Niger,"8,791","6,883","6,756","8,011","6,287","6,196","5,389","4,432","3,297","1,817","2,580","1,551",687,245,423,723,"64,068"
2000,Nigeria,"53,884","25,718","22,870","17,010","15,587","19,214","20,143","15,623","10,028","6,234","4,050","2,752","1,790","1,196",839,733,"217,671"
2000,Saint Helena,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,190
2000,Senegal,"5,481","6,745","8,236","12,500","15,061","13,448","11,449","8,564","6,745","4,654","3,885","2,649","2,542","2,677","2,433","3,340","110,409"
2000,Sierra Leone,"5,901","6,908","5,794","4,682","4,811","4,116","3,195","2,489","1,747","1,214",842,604,450,246,262,341,"43,602"
2000,Togo,"8,399","8,548","8,867","8,108","7,119","6,538","5,477","4,255","3,083","2,277","1,772","1,297","1,041",618,442,969,"68,810"
2000,ASIA,"1,050,033","1,060,515","1,116,430","1,245,140","1,784,946","2,179,661","2,246,964","2,179,429","1,828,513","1,516,586","1,297,097","1,107,315","969,044","841,049","766,359","1,540,504","22,729,585"
2000,Central Asia,"44,231","80,343","94,707","111,671","139,136","163,960","180,901","212,823","229,182","238,836","234,013","230,844","232,059","228,707","198,237","248,339","2,867,989"
2000,Kazakhstan,"26,668","48,979","56,357","65,037","79,202","92,583","102,464","119,295","125,161","127,998","127,402","127,830","129,022","120,537","80,358","120,552","1,549,445"
2000,Kyrgyzstan,"2,554","6,189","7,999","9,302","11,527","12,825","13,889","17,901","19,686","19,221","16,694","17,396","16,095","16,567","19,013","19,885","226,743"
2000,Tajikistan,"2,392","3,006","4,243","5,419","6,883","8,456","9,470","11,062","13,089","14,981","15,685","14,761","13,842","13,709","14,748","16,100","167,846"
2000,Turkmenistan,"1,697","2,982","3,512","4,293","5,586","6,740","7,410","8,687","9,587","10,311","9,988","9,534","9,837","10,482","11,320","12,364","124,330"
2000,Uzbekistan,"10,920","19,187","22,596","27,620","35,938","43,356","47,668","55,878","61,659","66,325","64,244","61,323","63,263","67,412","72,798","79,438","799,625"
